dimension,k,ggnn_time,fgc_time,count,size
12,40,6618.913451830546,14217.503706614176,6,1000000.0
13,40,6993.560115496318,19229.748765627544,6,1000000.0
14,40,7368.821700414021,24484.18176174164,6,1000000.0
15,40,7750.474015871682,29571.256438891098,6,1000000.0
16,40,8025.224765141805,65114.664832750954,6,1000000.0
17,40,8526.97749932607,39547.60408401489,6,1000000.0
18,40,8891.66525999705,45017.31701691946,6,1000000.0
19,40,9310.032725334167,48408.93336137136,6,1000000.0
3,10,5154.613494873047,403.2895565032959,1,1000000.0
5,10,5850.082159042358,192.91996955871585,1,1000000.0
3,40,285.51021489230067,169.22597451643514,11,100000.0
5,40,310.3901039470327,50.50921440124512,11,100000.0
3,40,555.3597753698176,8.24273716319691,11,200000.0
5,40,626.2585466558284,56.708877736871905,11,200000.0
3,40,853.2939390702682,11.42861626364968,11,300000.0
5,40,956.727699799971,72.43115251714534,11,300000.0
3,40,1150.6324247880416,13.918811624700377,11,400000.0
5,40,1290.9278219396415,92.5021388313987,11,400000.0
3,40,1456.44736289978,16.671267422762785,11,500000.0
5,40,1633.8769522580233,111.6619110107422,11,500000.0
3,40,1781.4485810019758,20.212758671153676,11,600000.0
5,40,1985.356851057573,133.06255774064496,11,600000.0
3,40,2088.9819968830457,20.941777662797406,11,700000.0
5,40,2347.0865162936125,156.78899938409978,11,700000.0
3,40,2389.6434957330875,23.689833554354585,11,800000.0
5,40,2706.536249680953,185.87272817438304,11,800000.0
3,40,2713.1516716697,25.3218954259699,11,900000.0
5,40,3079.892635345459,218.42052719809791,11,900000.0
3,40,3061.219648881393,27.150956067171975,11,1000000.0
5,40,3449.3973905389967,254.2718974026766,11,1000000.0
3,40,4713.854161175815,41.94164276123048,11,1500000.0
5,40,5416.920033368197,428.7911328402433,11,1500000.0
3,40,6535.788124257868,61.50960922241212,11,2000000.0
5,40,7559.516950087113,596.3248339566318,11,2000000.0
3,40,8314.370783892546,83.34664864973588,11,2500000.0
5,40,9727.92358831926,794.9696454134854,11,2500000.0
3,40,10513.88226855885,111.56446283513851,11,3000000.0
5,40,11749.276399612429,978.3404523676088,11,3000000.0
3,40,11896.487972953102,132.17553225430575,11,3500000.0
5,40,13309.469634836372,1251.351421529596,11,3500000.0
3,40,13738.517392765389,162.22936456853694,11,4000000.0
5,40,15351.198283108795,1567.6805106076326,11,4000000.0
3,40,15640.024098483,192.02592156150124,11,4500000.0
5,40,17371.173988689075,1929.5535304329612,11,4500000.0
3,40,17720.847173170612,236.78591034629127,11,5000000.0
5,40,20367.22553860057,2424.69031160528,11,5000000.0
3,40,20442.80089031566,272.04652266068894,11,5500000.0
5,40,22509.06705856323,2887.044256383723,11,5500000.0
3,40,22189.822457053444,310.9581470489502,11,6000000.0
5,40,24659.429095008156,3383.3317756652837,11,6000000.0
3,40,24214.943452314907,354.63684255426574,11,6500000.0
5,40,26907.46628154408,3920.996926047585,11,6500000.0
3,40,26321.377060630115,399.8359983617609,11,7000000.0
5,40,29078.78962430087,4479.416500438343,11,7000000.0
3,40,28507.890506224197,445.76811790466303,11,7500000.0
5,40,31276.051846417515,5063.564083792947,11,7500000.0
3,40,30761.240157214077,494.6190443905916,11,8000000.0
5,40,33474.48695789684,5653.406099839644,11,8000000.0
3,40,32364.15284330194,546.6153838417747,11,8500000.0
5,40,35781.89232132653,6214.499148455533,11,8500000.0
3,40,34720.1471978968,795.1516888358376,11,9000000.0
5,40,37993.45967986368,6751.804265108975,11,9000000.0
3,40,36652.2049036893,654.8154570839622,11,9500000.0
5,40,40276.06758204373,7267.993190071798,11,9500000.0
3,40,38581.0332515023,711.6445194591175,11,10000000.0
5,40,42460.76481992548,7748.990579084916,11,10000000.0
3,10,5154.613494873047,403.2895565032959,1,1000000.0
5,10,5850.082159042358,192.91996955871585,1,1000000.0
3,40,285.51021489230067,169.22597451643514,11,100000.0
5,40,310.3901039470327,50.50921440124512,11,100000.0
3,40,555.3597753698176,8.24273716319691,11,200000.0
5,40,626.2585466558284,56.708877736871905,11,200000.0
3,40,853.2939390702682,11.42861626364968,11,300000.0
5,40,956.727699799971,72.43115251714534,11,300000.0
3,40,1150.6324247880416,13.918811624700377,11,400000.0
5,40,1290.9278219396415,92.5021388313987,11,400000.0
3,40,1456.44736289978,16.671267422762785,11,500000.0
5,40,1633.8769522580233,111.6619110107422,11,500000.0
3,40,1781.4485810019758,20.212758671153676,11,600000.0
5,40,1985.356851057573,133.06255774064496,11,600000.0
3,40,2088.9819968830457,20.941777662797406,11,700000.0
5,40,2347.0865162936125,156.78899938409978,11,700000.0
3,40,2389.6434957330875,23.689833554354585,11,800000.0
5,40,2706.536249680953,185.87272817438304,11,800000.0
3,40,2713.1516716697,25.3218954259699,11,900000.0
5,40,3079.892635345459,218.42052719809791,11,900000.0
3,40,3061.219648881393,27.150956067171975,11,1000000.0
5,40,3449.3973905389967,254.2718974026766,11,1000000.0
3,40,4713.854161175815,41.94164276123048,11,1500000.0
5,40,5416.920033368197,428.7911328402433,11,1500000.0
3,40,6535.788124257868,61.50960922241212,11,2000000.0
5,40,7559.516950087113,596.3248339566318,11,2000000.0
3,40,8314.370783892546,83.34664864973588,11,2500000.0
5,40,9727.92358831926,794.9696454134854,11,2500000.0
3,40,10513.88226855885,111.56446283513851,11,3000000.0
5,40,11749.276399612429,978.3404523676088,11,3000000.0
3,40,11896.487972953102,132.17553225430575,11,3500000.0
5,40,13309.469634836372,1251.351421529596,11,3500000.0
3,40,13738.517392765389,162.22936456853694,11,4000000.0
5,40,15351.198283108795,1567.6805106076326,11,4000000.0
3,40,15640.024098483,192.02592156150124,11,4500000.0
5,40,17371.173988689075,1929.5535304329612,11,4500000.0
3,40,17720.847173170612,236.78591034629127,11,5000000.0
5,40,20367.22553860057,2424.69031160528,11,5000000.0
3,40,20442.80089031566,272.04652266068894,11,5500000.0
5,40,22509.06705856323,2887.044256383723,11,5500000.0
3,40,22189.822457053444,310.9581470489502,11,6000000.0
5,40,24659.429095008156,3383.3317756652837,11,6000000.0
3,40,24214.943452314907,354.63684255426574,11,6500000.0
5,40,26907.46628154408,3920.996926047585,11,6500000.0
3,40,26321.377060630115,399.8359983617609,11,7000000.0
5,40,29078.78962430087,4479.416500438343,11,7000000.0
3,40,28507.890506224197,445.76811790466303,11,7500000.0
5,40,31276.051846417515,5063.564083792947,11,7500000.0
3,40,30761.240157214077,494.6190443905916,11,8000000.0
5,40,33474.48695789684,5653.406099839644,11,8000000.0
3,40,32364.15284330194,546.6153838417747,11,8500000.0
5,40,35781.89232132653,6214.499148455533,11,8500000.0
3,40,34720.1471978968,795.1516888358376,11,9000000.0
5,40,37993.45967986368,6751.804265108975,11,9000000.0
3,40,36652.2049036893,654.8154570839622,11,9500000.0
5,40,40276.06758204373,7267.993190071798,11,9500000.0
3,40,38581.0332515023,711.6445194591175,11,10000000.0
5,40,42460.76481992548,7748.990579084916,11,10000000.0
